No,NaptanCode,CommonName
1,73727985,Aviva
2,73739795,Aviva
3,73734234,Community Campus
4,73753732,Loch Leven Community Campus
5,73745845,Castle Brae
6,73798934,Whitehouse
7,73765465,Burnbank Meadows
8,73784357,Glenturret Terrace
9,73787286,Primary School
10,73753685,Croft Wynd
11,73732694,Croft Wynd
12,73748674,Perth Road
13,73748468,War Memorial
14,73756982,Road End
15,73739693,Railway Station
16,73734238,Rookery
17,73745843,Rookery
18,73762834,Pitkellony Street
19,73732372,Lintibert Road
20,73745878,Inchfield Cottages
21,73745876,Inchfield Cottages
22,73734243,Balgay Farm Road End
23,73742686,Dunsinnan Road
24,73762468,Stroma Court
25,73798932,Stroma Court
26,73795832,Post Box
27,73762626,Fish Farm Road End
28,73793247,Station Court
29,73739794,Station Court
30,73736796,Scout Hall
31,73783978,Scout Hall
32,73792868,Beechgrove Terrace
33,73794256,Beechgrove Terrace
34,73739647,Concert Hall
35,73748682,Waterworks
36,73757943,Waterworks
37,73725273,Mill Street
38,73725642,Mill Street
39,73725643,Mill Street
40,73725645,Mill Street
41,73723696,Mill Street
42,73723694,Mill Street
43,73723653,Mill Street
44,73723734,Royal Infirmary
45,73724763,Royal Infirmary
46,73723649,South Street
47,73723524,South Street
48,73723525,South Street
49,73723539,South Street
50,73723232,Upper Rannoch Roundabout
51,73725326,Upper Rannoch Roundabout
52,73729247,Muir o Lea
53,73723972,Institute
54,73724783,Institute
55,73725684,Bus Depot
56,73724859,Inveralmond Close
57,73727968,Branklyn Gardens
58,73727974,Earn Drive
59,73728354,Earn Drive
60,73728542,Dubheads
61,73728289,Dubheads
62,73728293,Garth Terrace
63,73728634,Mills Of Earn
64,73728397,Mills Of Earn
65,73728494,Colquhalzie Road End
66,73728793,Colquhalzie Road End
67,73728694,Muir o Lea
68,73725429,Market Square
69,73725424,Leitfie Terrace
70,73725423,Leitfie Terrace
71,73726582,Glenshee Drive
72,73726459,Wellmeadow
73,73726462,Wellmeadow
74,73727357,Blairgowrie High School
75,73727352,Rosemount Gardens
76,73727349,Rosemount Gardens
77,73723789,George Square
78,73723456,Post Office
79,73725349,Post Office
80,73725346,Village Hall
81,73727348,George Square
82,73724275,Village Hall
83,73724793,Burnside Road
84,73723986,Burnside Road
85,73724268,Mansfield Road
86,73728472,Drumchastle
87,73725258,Mansfield Road
88,73724574,Kinnoull Street
89,73726482,College
90,73723675,College
