NaptanCode,CommonName,Street,LocalityName,BusStopType,x,y
73727985,Aviva,Pitheavlis,Cherrybank,MKD,309764,722103
73739795,Aviva,Pitheavlis,Cherrybank,MKD,309762,722119
73734234,Community Campus,Elm Drive,Blairgowrie,MKD,317634,743915
73753732,Loch Leven Community Campus,Campus Rd,Kinross,MKD,311746,703513
73745845,Castle Brae,A85,East Huntingtower,MKD,308199,724912
73798934,Whitehouse,Castle Brae,East Huntingtower,CUS,308248,724944
73765465,Burnbank Meadows,Lethangie Road,Kinross,CUS,311724,703457
73784357,Glenturret Terrace,Glendevon Road,Moncreiffe,MKD,311145,721681
73787286,Primary School,Gleneagles Road,Moncreiffe,MKD,311206,721671
73753685,Croft Wynd,Stirling Road,Milnathort,MKD,311925,704716
73732694,Croft Wynd,Stirling Road,Milnathort,MKD,312013,704704
73748674,Perth Road,Burleigh Road,Milnathort,MKD,312363,704750
73748468,War Memorial,South Street,Milnathort,MKD,311955,704541
73756982,Road End,A90,Inchture,MKD,327968,728935
73739693,Railway Station,Station Road,Invergowrie,MKD,334878,729858
73734238,Rookery,Gowans Terrace,Muirton,MKD,311128,725098
73745843,Rookery,The Rookery,Muirton,MKD,311140,725085
73762834,Pitkellony Street,Willoughby Street,Muthill,MKD,286902,716671
73732372,Lintibert Road,Willoughby Street,Muthill,MKD,287008,716663
73745878,Inchfield Cottages,B898,Inchmagrannachan,MKD,300068,744753
73745876,Inchfield Cottages,B898,Inchmagrannachan,CUS,300090,744745
73734243,Balgay Farm Road End,A90,Inchture,MKD,326463,727632
73742686,Dunsinnan Road,Old Church Road,Wolfhill,MKD,315569,733359
73762468,Stroma Court,Bute Drive,North Muirton,MKD,310813,725755
73798932,Stroma Court,Bute Drive,North Muirton,MKD,310791,725751
73795832,Post Box,U29,Blacklunans,CUS,314911,760464
73762626,Fish Farm Road End,U246,Balado,CUS,309596,702615
73793247,Station Court,Station Road,Murthly,MKD,309973,738350
73739794,Station Court,Station Road,Murthly,MKD,310035,738317
73736796,Scout Hall,Forfar Road,Meigle,MKD,328900,744666
73783978,Scout Hall,Forfar Road,Meigle,MKD,328877,744641
73792868,Beechgrove Terrace,Muirend Road,Burghmuir,MKD,309122,723649
73794256,Beechgrove Terrace,Muirend Road,Burghmuir,MKD,309091,723637
73739647,Concert Hall,Mill Street,Perth,CUS,311935,723781
73748682,Waterworks,C411,Windyedge,CUS,304466,720953
73757943,Waterworks,C411,Windyedge,CUS,304493,720967
73725273,Mill Street,Mill Street,Perth,MKD,311568,723729
73725642,Mill Street,Mill Street,Perth,MKD,311585,723729
73725643,Mill Street,Mill Street,Perth,MKD,311610,723729
73725645,Mill Street,Mill Street,Perth,MKD,311643,723729
73723696,Mill Street,Mill Street,Perth,MKD,311637,723742
73723694,Mill Street,MILL STREET,Perth,MKD,311616,723742
73723653,Mill Street,Mill Street,Perth,MKD,311596,723741
73723734,Royal Infirmary,Western Avenue,Perth,MKD,310259,723753
73724763,Royal Infirmary,Western Avenue,Perth,MKD,310272,723793
73723649,South Street,South Street,Perth,MKD,311709,723482
73723524,South Street,South Street,Perth,MKD,311724,723482
73723525,South Street,South Street,Perth,MKD,311768,723478
73723539,South Street,South Street,Perth,MKD,311789,723474
73723232,Upper Rannoch Roundabout,Rannoch Road,Letham,MKD,308978,724259
73725326,Upper Rannoch Roundabout,Rannoch Road,Letham,MKD,309011,724267
73729247,Muir o Lea,Unclassified Rd,Kinkell Bridge,CUS,292927,717786
73723972,Institute,Tulloch Terrace,Tulloch,MKD,309436,724945
73724783,Institute,Tulloch Terrace,Tulloch,MKD,309434,724902
73725684,Bus Depot,Ruthvenfield Road,Inveralmond,HAR,309159,726264
73724859,Inveralmond Close,Inveralmond Rd,Inveralmond,HAR,309183,726108
73727968,Branklyn Gardens,Dundee Road,Barnhill,MKD,312502,722796
73727974,Earn Drive,C410,Balgowan,MKD,299320,722537
73728354,Earn Drive,C410,Balgowan,MKD,299334,722533
73728542,Dubheads,C410,Balgowan,CUS,296413,721454
73728289,Dubheads,C410,Balgowan,CUS,296396,721455
73728293,Garth Terrace,Garth Terrace,Auchterarder,CUS,295748,713432
73728634,Mills Of Earn,B8062,Kinkell Bridge,CUS,292304,717044
73728397,Mills Of Earn,B8062,Kinkell Bridge,CUS,292301,717063
73728494,Colquhalzie Road End,C457,Tullibardine,CUS,292205,716670
73728793,Colquhalzie Road End,C457,Tullibardine,CUS,292207,716663
73728694,Muir o Lea,Unclassified Rd,Kinkell Bridge,CUS,292932,717761
73725429,Market Square,Market Square,Alyth,MKD,324611,748554
73725424,Leitfie Terrace,A926,New Alyth,MKD,324396,747330
73725423,Leitfie Terrace,A926,New Alyth,MKD,324409,747346
73726582,Glenshee Drive,Ferguson Park Road,Rattray,MKD,318363,745753
73726459,Wellmeadow,Wellmeadow,Blairgowrie,MKD,318010,745178
73726462,Wellmeadow,Wellmeadow,Blairgowrie,MKD,318006,745173
73727357,Blairgowrie High School,Beeches Road,Blairgowrie,HAR,317632,744466
73727352,Rosemount Gardens,Coupar Angus Road,Rosemount,MKD,318877,743494
73727349,Rosemount Gardens,Coupar Angus Road,Rosemount,MKD,318854,743510
73723789,George Square,George Street,Coupar Angus,MKD,322128,739981
73723456,Post Office,High Street,Burrelton,MKD,320012,737044
73725349,Post Office,High Street,Burrelton,MKD,319997,737022
73725346,Village Hall,Mercat Green,Kinrossie,MKD,318825,732332
73727348,George Square,George Street,Coupar Angus,MKD,322116,739954
73724275,Village Hall,Mercat Green,Kinrossie,CUS,318832,732355
73724793,Burnside Road,A94,Balbeggie,MKD,316982,729697
73723986,Burnside Road,A94,Balbeggie,MKD,316976,729781
73724268,Mansfield Road,Perth Road,Scone,MKD,313723,726061
73728472,Drumchastle,B846,Dunalastair,CUS,268278,758739
73725258,Mansfield Road,Perth Road,Scone,MKD,313775,726118
73724574,Kinnoull Street,Kinnoull Street,Perth,MKD,311678,723834
73726482,College,Crieff Road,Hillyland,MKD,310040,724652
73723675,College,Crieff Road,Hillyland,MKD,309945,724706
73723863,Kinnoull Street,Kinnoull Street,Perth,MKD,311669,723699
73724295,Gleneagles Trades Entrance,A824,Auchterarder,MKD,291710,711609
73725754,Aytoun Hall,High Street,Auchterarder,MKD,294517,712883
73725756,Co-op,High Street,Auchterarder,MKD,294423,712813
73727262,Bridgewater Avenue,Abbey Road,Auchterarder,MKD,295361,712880
73727263,Bridgewater Avenue,Abbey Road,Auchterarder,MKD,295308,712891
73727267,Easter Coul,B8062,Auchterarder,CUS,296915,713035
73727268,Easter Coul,B8062,Auchterarder,CUS,296942,713021
73727269,Thimblerow,Bridge of Earn Road,Dunning,MKD,302017,714393
73728297,Festival Theatre,Car Park,Pitlochry,MKD,293863,757594
73723275,Village Hall,B935,Forteviot,MKD,305180,717517
73723276,Village Hall,B935,Forteviot,MKD,305193,717508
73723273,Kinnaird Road,B935,Forgandenny,MKD,308767,718063
73725673,Kinnaird Road,B935,Forgandenny,MKD,308732,718055
73725659,James Court,Kintillo Road,Kintillo,MKD,313002,717414
73723269,James Court,Kintillo Road,Kintillo,MKD,313002,717421
73725787,Dunbarney Primary School,Main Street,Bridge of Earn,MKD,313133,718394
73725786,Dunbarney Primary School,Main Street,Bridge of Earn,MKD,313133,718459
73726483,Cromlix Road,Drummond Crescent,Friarton,MKD,311578,721665
73726484,Cromlix Road,Drummond Crescent,Friarton,MKD,311585,721689
73725624,Canal Street,Canal Street,Perth,MKD,311715,723364
73724687,Scott Street,Scott Street,Perth,MKD,311686,723332
73724674,Scott Street,Scott Street,Perth,MKD,311682,723195
73723865,Scott Street,Scott Street,Perth,MKD,311669,723196
73723838,Scott Street,Scott Street,Perth,MKD,311672,723573
73724672,Scott Street,Scott Street,Perth,MKD,311688,723544
73725287,Crematorium,Crieff Road,Hillyland,MKD,309477,724858
73723672,Crematorium,Crieff Road,Hillyland,MKD,309308,724893
73725367,Primary School,Castle Brae,Ruthvenfield,MKD,307954,725426
73723474,Primary School,Castle Brae,Ruthvenfield,MKD,307896,725472
73724742,Scroggiehill,Main Street,Almondbank,MKD,306508,726042
73723983,Scroggiehill,Main Street,Almondbank,MKD,306494,726047
73724756,Hotel,Main Road,Pitcairngreen,MKD,306472,726952
73724757,Lumsden Crescent,Lumsden Crescent,Almondbank,MKD,306832,726245
73724658,South Methven Street,South Methven Street,Perth,MKD,311560,723591
73723943,Leonard Street,Leonard Street,Perth,MKD,311325,723164
73724673,Leonard Street,Leonard Street,Perth,MKD,311336,723213
73723469,Methven Arms,Main Street (A85),Methven,MKD,302575,725922
73723468,Methven Arms,Main Street,Methven,MKD,302548,725927
73728723,Cuthill Towers,B996,Glenfarg,MKD,314957,707974
73723458,Burnbrae Garage,A85,Mains of Gorthy,MKD,297006,724324
73725362,Burnbrae Garage,A85,Mains of Gorthy,MKD,297011,724313
73725365,Grahame Terrace,A85,Gilmerton,MKD,288652,723582
73723294,Grahame Terrace,A85,Gilmerton,MKD,288704,723605
73727273,St Dominics Primary School,Broich Road,Crieff,MKD,286075,721094
73727272,Crieff High School,Pittenzie Road,Crieff,MKD,286796,721070
73725382,RS McColl,High Street,Crieff,MKD,286436,721586
73725453,Hill Street,High Street,Crieff,MKD,286397,721619
73723989,Braco Road,Bridge Street,Dalginross,MKD,277631,721258
73723435,Four Seasons Hotel,A85,St Fillans,MKD,269080,724451
73723426,Barrack Road,Barrack Road,Dalginross,MKD,277701,721611
73726486,DEL-St Johnâ€™s Academy - Primary,Barossa Street,Perth,MKD,311615,724064
73726485,St Johns Academy,Gowans Terrace,Muirton,MKD,311279,725107
73728769,Russell Street,Mill Street,Stanley,MKD,310888,733326
73729368,Linn Road,Mill Street,Stanley,MKD,310988,733230
73728563,Murray Place,Store Street,Stanley,CUS,310969,733055
73732572,Cuthill Towers,B996,Glenfarg,MKD,314951,707972
73728269,The Smithy,A93,Cargill,CUS,315361,736762
73726478,Bambrick Wood,U236,Maryburgh,MKD,313730,695903
73726479,Bambrick Wood,U236,Maryburgh,MKD,313723,695902
73726256,Gairneybridge Farm,B996,Gairney Bank,MKD,312953,698522
73728362,Eastertyre,A827,Logierait,CUS,294885,752704
